date,home,away,xg,score,p_H,p_D,p_A,over25,mom
2026-06-20,Netherlands,Sweden,2.0-1.2,1-1,0.552,0.214,0.235,0.621,+0.02/+0.04
2026-06-20,Tunisia,Japan,0.6-1.1,0-1,0.21,0.32,0.469,0.26,-0.13/+0.05
2026-06-20,Germany,Ivory Coast,1.9-1.3,1-1,0.512,0.224,0.264,0.602,+0.18/+0.10
2026-06-20,Ecuador,Curaçao,1.8-0.4,1-0,0.703,0.217,0.08,0.366,+0.02/-0.18
2026-06-21,Belgium,Iran,2.2-0.8,2-0,0.695,0.183,0.122,0.572,+0.18/+0.00
2026-06-21,New Zealand,Egypt,0.7-1.2,0-1,0.218,0.311,0.471,0.282,-0.12/+0.01
2026-06-21,Spain,Saudi Arabia,1.6-0.6,1-0,0.616,0.246,0.138,0.376,+0.04/-0.06
2026-06-21,Uruguay,Cape Verde,1.6-0.5,1-0,0.614,0.256,0.131,0.344,-0.03/+0.01
2026-06-22,France,Iraq,2.0-0.5,1-0,0.73,0.19,0.08,0.442,+0.08/-0.12
2026-06-22,Norway,Senegal,1.3-1.2,1-1,0.392,0.268,0.339,0.45,+0.09/-0.07
2026-06-22,Argentina,Austria,1.8-1.1,1-1,0.524,0.233,0.243,0.544,+0.18/+0.16
2026-06-22,Jordan,Algeria,0.6-1.9,0-1,0.113,0.213,0.674,0.437,-0.10/-0.01
2026-06-23,Portugal,Uzbekistan,1.9-0.4,1-0,0.724,0.197,0.078,0.416,+0.06/-0.09
2026-06-23,Colombia,Congo DR,1.6-0.7,1-0,0.607,0.243,0.15,0.404,+0.09/-0.02
2026-06-23,England,Ghana,2.2-0.8,2-0,0.7,0.183,0.117,0.563,+0.06/-0.11
2026-06-23,Panama,Croatia,0.5-1.6,0-1,0.114,0.24,0.645,0.359,-0.08/-0.09
2026-06-24,Morocco,Haiti,1.8-0.5,1-0,0.681,0.221,0.097,0.386,+0.07/-0.03
2026-06-24,Bosnia-Herzegovina,Qatar,1.6-1.3,1-1,0.437,0.246,0.317,0.536,-0.08/-0.18
2026-06-24,Scotland,Brazil,1.0-2.3,1-2,0.159,0.184,0.657,0.647,+0.04/+0.14
2026-06-24,South Africa,South Korea,0.9-1.1,0-1,0.306,0.303,0.391,0.334,-0.07/-0.05
2026-06-24,Mexico,Czechia,1.9-1.2,1-1,0.55,0.219,0.23,0.594,+0.09/-0.04
2026-06-24,Canada,Switzerland,1.4-1.4,1-1,0.376,0.249,0.375,0.529,+0.15/+0.12
