team,squad_overall,avg_caps,avg_age,young_pace,senior_solidity,age_role,prior_strength
Portugal,83.6,44.6,27.5,80.6,64.5,0.383,0.7617
Brazil,83.0,35.2,28.8,80.5,73.8,0.87,0.7526
Argentina,82.2,48.1,28.7,78.2,71.0,0.499,0.6963
France,81.7,30.9,26.6,87.9,66.8,1.21,0.618
Spain,82.5,28.6,26.2,79.2,67.7,0.419,0.5907
England,81.1,32.2,26.7,86.0,66.0,0.984,0.5576
Netherlands,80.4,33.1,27.3,83.7,70.0,0.976,0.5175
Colombia,79.8,40.1,29.6,78.3,67.0,0.294,0.4812
Senegal,79.5,37.9,26.6,88.9,58.9,0.885,0.4422
Germany,80.0,32.5,27.6,75.8,71.3,0.283,0.4265
Uruguay,78.7,35.9,28.2,82.7,66.7,0.703,0.3876
Belgium,79.9,41.7,27.1,75.0,58.8,-0.462,0.3747
Cape Verde,79.3,31.7,29.2,71.6,65.3,-0.443,0.3343
Mexico,78.2,46.7,27.5,81.0,57.1,0.026,0.3083
Croatia,78.2,44.6,27.9,75.0,65.8,-0.088,0.2997
Panama,77.6,59.3,30.0,69.0,66.1,-0.651,0.2832
Morocco,78.2,26.8,26.1,81.8,59.2,0.215,0.221
Switzerland,77.1,43.5,27.8,77.0,64.2,0.019,0.217
Austria,77.2,38.6,28.2,71.4,70.4,-0.19,0.1976
Türkiye,76.9,37.3,27.2,78.6,66.9,0.318,0.195
Paraguay,76.8,26.5,28.5,78.7,66.3,0.296,0.1651
Congo DR,75.6,30.6,28.5,78.5,70.9,0.522,0.1102
Czechia,76.4,27.8,27.2,75.8,69.4,0.181,0.1029
Ivory Coast,76.5,27.0,25.3,83.3,63.0,0.563,0.1028
South Africa,77.3,18.6,26.3,80.4,55.2,-0.134,0.0731
Ecuador,76.1,29.7,25.6,85.6,51.9,0.192,0.0565
Algeria,75.2,29.9,26.5,83.4,56.5,0.225,0.0076
Scotland,74.5,37.4,28.7,72.3,68.3,-0.215,-0.0124
Norway,75.0,30.8,26.3,82.0,57.3,0.133,-0.0167
United States,74.6,37.0,26.4,83.2,52.8,0.008,-0.0326
Canada,74.4,36.7,26.5,85.1,51.1,0.101,-0.0391
Bosnia-Herzegovina,74.7,23.0,26.0,72.1,61.2,-0.614,-0.154
Sweden,73.8,20.0,27.0,79.6,59.8,0.035,-0.1645
Japan,72.8,30.6,26.9,78.8,61.2,0.033,-0.1885
Qatar,72.1,54.8,28.9,66.7,67.4,-0.804,-0.1993
Egypt,72.2,31.6,28.7,82.1,48.4,-0.333,-0.2281
Ghana,71.4,21.6,26.4,85.1,57.7,0.454,-0.3182
Australia,71.0,28.2,26.9,79.5,59.1,-0.012,-0.3461
Curaçao,71.0,23.8,27.5,79.4,61.3,0.096,-0.3469
Haiti,70.1,24.0,27.0,85.4,49.1,0.023,-0.4339
New Zealand,70.0,31.7,27.8,74.4,55.3,-0.707,-0.4541
Iran,69.2,45.0,29.8,74.8,43.7,-1.289,-0.4816
Tunisia,69.9,22.4,26.2,73.8,59.2,-0.557,-0.5281
Uzbekistan,66.3,32.1,27.7,75.3,48.9,-0.962,-0.7704
Saudi Arabia,63.0,35.7,28.0,83.9,54.1,0.145,-0.9102
Iraq,64.1,31.8,26.4,78.6,50.5,-0.558,-0.9356
Jordan,61.3,40.9,28.1,88.0,26.5,-0.934,-1.1222
South Korea,57.0,36.8,27.5,70.3,35.9,-2.14,-1.5988
